Id;id_lot;nb_piece;typologie;prix_tva_reduite;prix_tva_normale;prix_HT;prix_m2_HT;prix_m2_TTC;orientation;exterieur;balcony;garden;parking;ville;departement;date_fin_programme;adresse_entiere;date_extraction;surface;etage;nom_programme ;promoteur
0;59_0_L'alcve_Bouygues;3;Appartement;178823;203400.5687;169500.47;2849.71;3419.65;N;FALSE;FALSE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;59;0;L'alcve;Bouygues
1;59_2_L'alcve_Bouygues;3;Appartement;183218;208399.6209;173666.35;2919.74;3503.69;N;FALSE;TRUE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;59;2;L'alcve;Bouygues
2;63_1_L'alcve_Bouygues;3;Appartement;190340;216500.4739;180417.06;2832.74;3399.29;S;FALSE;TRUE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;63;1;L'alcve;Bouygues
3;63_1__1_L'alcve_Bouygues;3;Appartement;192098;218500.0948;182083.41;2876.06;3451.27;SO;FALSE;TRUE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;63;11;L'alcve;Bouygues
4;59_3_L'alcve_Bouygues;3;Appartement;192098;218500.0948;182083.41;3061.25;3673.51;N;FALSE;TRUE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;59;3;L'alcve;Bouygues
5;63_2_L'alcve_Bouygues;3;Appartement;194296;221000.1896;184166.82;2891.61;3469.94;S;FALSE;TRUE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;63;2;L'alcve;Bouygues
6;85_4_L'alcve_Bouygues;4;Appartement;297598;338500.0948;282083.41;3315.9;3979.08;Vue privilégiée;TRUE;FALSE;FALSE;1;Clermont-Ferrand;63;01/08/2023;91 RUE DE LA GANTIERE 63000 Clermont-Ferrand;2021-07-21;85;4;L'alcve;Bouygues
7;48_LesBucoliques_Bouygues;2;Maison;;143000;119166.67;2439.94;2927.93;NO;TRUE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;48;;LesBucoliques;Bouygues
8;48__1_LesBucoliques_Bouygues;2;Maison;;146000;121666.67;2491.13;2989.35;NO;TRUE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;48;1;LesBucoliques;Bouygues
9;46_2_LesBucoliques_Bouygues;2;Appartement;;156000;130000;2816.29;3379.55;SE;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;46;2;LesBucoliques;Bouygues
10;64_1_LesBucoliques_Bouygues;3;Appartement;;175000;145833.33;2251.9;2702.29;NO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;64;1;LesBucoliques;Bouygues
11;62_1_LesBucoliques_Bouygues;3;Appartement;;177000;147500;2379.03;2854.84;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;62;1;LesBucoliques;Bouygues
12;68_1_LesBucoliques_Bouygues;3;Appartement;;186000;155000;2279.41;2735.29;NE;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;68;1;LesBucoliques;Bouygues
13;68_1__1_LesBucoliques_Bouygues;3;Appartement;;190000;158333.33;2312.11;2774.53;NE;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;68;11;LesBucoliques;Bouygues
14;64_2_LesBucoliques_Bouygues;3;Appartement;;191000;159166.67;2457.79;2949.35;NO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;64;2;LesBucoliques;Bouygues
15;68_LesBucoliques_Bouygues;3;Maison;;195000;162500;2380.25;2856.31;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;68;;LesBucoliques;Bouygues
16;68_1__2_LesBucoliques_Bouygues;3;Appartement;;195000;162500;2380.25;2856.31;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;68;12;LesBucoliques;Bouygues
17;72_1_LesBucoliques_Bouygues;3;Appartement;;201000;167500;2325.42;2790.5;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;72;1;LesBucoliques;Bouygues
18;72_1__1_LesBucoliques_Bouygues;3;Appartement;;202000;168333.33;2336.99;2804.39;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;72;11;LesBucoliques;Bouygues
19;66_LesBucoliques_Bouygues;3;Maison;;203000;169166.67;2537.37;3044.85;SO;FALSE;FALSE;FALSE;1;Cournon-d'Auvergne;63;01/02/2023;RUE DE L'AMOURETTE 63800 Cournon-d'Auvergne;2021-07-21;66;;LesBucoliques;Bouygues
